ID,NU_NOTA_LC
0,516.5511996223776
1,571.060209200099
2,524.5087812350289
3,477.7113146668755
4,530.3364144411483
5,571.1674905316638
6,492.2245389550261
7,487.32958605912694
8,503.09270662936007
9,607.4680685901279
10,596.421570281635
11,594.0088892095725
12,472.90040684933047
13,617.0311345550267
14,432.2224894596176
15,446.0631124556041
16,634.0511658463876
17,603.1004395545398
18,519.2033175615272
19,529.1911693206949
20,481.07939422566915
21,588.8161185164395
22,565.121058634504
23,478.9593241527725
24,461.1345210493153
25,565.820158951934
26,446.15032509676143
27,534.5739066106241
28,427.6026027233328
29,480.2087518269822
30,527.2892248796293
31,622.2764983086433
32,586.9934432862337
33,554.3846011580395
34,551.9768910324727
35,465.151302969139
36,495.73350717172934
37,521.3045020443243
38,525.9652256079085
39,509.9511394323716
40,490.6686117619074
41,521.3459459416949
42,540.2958719772943
43,444.2632972237544
44,663.6944790833868
45,419.973762847798
46,496.24222275700333
47,466.28692613947993
48,451.09772103256336
49,539.1776118950727
50,475.85119305419227
51,472.2989473190831
52,479.8925101697049
53,528.4357487237482
54,557.1299818772418
55,555.3800494443663
56,469.7384776131638
57,530.4172950399209
58,546.2583405641708
59,605.2345978652882
60,475.8535929933244
61,474.01852291621344
62,459.92473062915565
63,531.6596258921661
64,537.9834118195495
65,420.51752025769093
66,524.3610294211925
67,447.26711018077594
68,454.0927364964306
69,529.9831220718607
70,549.5945581601698
71,591.6796471356269
72,516.5218164011783
73,516.3430754973378
74,575.9442580335246
75,498.51939471644073
76,512.7500837262957
77,470.42666905480667
78,567.0755302142647
79,584.4670416363738
80,513.9558254677165
81,571.6423714419211
82,479.6651165488896
83,469.4287512821117
84,491.85957867789944
85,541.4421916869234
86,500.1841405340981
87,530.9361898050653
88,461.25688814133923
89,488.54481919170934
90,504.5502330282019
91,508.8572342914853
92,544.8017724767917
93,458.86215228996844
94,586.0973411078161
95,590.6995364969149
96,522.4939167265453
97,459.1935714420599
98,513.5681117916356
99,536.8152731916578
100,613.600546463899
101,515.0165457123678
102,546.4551496220063
103,591.75738810986
104,534.1233328275307
105,647.2090272946812
106,640.610987616399
107,616.5246876360876
108,485.3073633879467
109,649.296255068864
110,540.469043165892
111,492.717993244685
112,519.3635879680153
113,597.1518481614828
114,485.5979554236708
115,500.0121106370974
116,515.4067518454945
